customer_no,customer_id,Recency,Frequency,Monetary,Recency_score,Frequency_score,Monetary_score,RFM_SCORE,Segment,Is_Loyal
159,1159,371,1,28.31,1,1,1,111,hibernating,Not Loyal
160,1160,312,1,18.5,2,1,1,211,hibernating,Not Loyal
161,1161,824,3,108.61,1,3,4,134,at_Risk,Not Loyal
162,1162,34,2,37.2,5,2,2,522,potential_loyalists,Loyal
163,1163,216,1,46.64,3,1,2,312,about_to_sleep,Not Loyal
164,1164,40,1,12.06,5,1,1,511,new_customers,Not Loyal
165,1165,36,1,31.67,5,1,2,512,new_customers,Not Loyal
166,1166,76,5,260.77,5,5,5,555,champions,Loyal
167,1167,63,5,344.19,5,5,5,555,champions,Loyal
168,1168,150,1,61.39,4,1,3,413,promising,Not Loyal
169,1169,165,1,25.79,4,1,1,411,promising,Not Loyal
170,1170,241,1,21.5,3,1,1,311,about_to_sleep,Not Loyal
171,1171,107,5,366.67,4,5,5,455,loyal_customers,Loyal
172,1172,19,1,16.25,5,1,1,511,new_customers,Not Loyal
173,1173,300,1,97.19,2,1,3,213,hibernating,Not Loyal
174,1174,522,1,199.19,1,1,5,115,hibernating,Not Loyal
175,1175,434,1,75.68,1,1,3,113,hibernating,Not Loyal
176,1176,285,6,282.51,2,5,5,255,cant_loose,Not Loyal
177,1177,213,3,99.68,3,3,3,333,need_attention,Not Loyal
178,1178,186,1,27.9,3,1,1,311,about_to_sleep,Not Loyal
179,1179,105,3,166.24,4,3,5,435,potential_loyalists,Loyal
180,1180,234,1,55.67,3,1,2,312,about_to_sleep,Not Loyal
181,1181,16,1,58.77,5,1,2,512,new_customers,Not Loyal
182,1182,17,3,373.29,5,3,5,535,potential_loyalists,Loyal
183,1183,124,1,16.25,4,1,1,411,promising,Not Loyal
184,1184,359,1,28.79,2,1,1,211,hibernating,Not Loyal
185,1185,375,1,56.53,1,1,2,112,hibernating,Not Loyal
186,1186,98,3,54.82,4,3,2,432,potential_loyalists,Loyal
187,1187,955,2,92.8,1,2,3,123,hibernating,Not Loyal
188,1188,618,1,24.94,1,1,1,111,hibernating,Not Loyal
189,1189,381,1,22.9,1,1,1,111,hibernating,Not Loyal
190,1190,1025,1,12.05,1,1,1,111,hibernating,Not Loyal
191,1191,156,2,131.27,4,2,4,424,potential_loyalists,Loyal
192,1192,812,1,77.54,1,1,3,113,hibernating,Not Loyal
193,1193,1266,1,11.56,1,1,1,111,hibernating,Not Loyal
194,1194,94,3,850.46,4,3,5,435,potential_loyalists,Loyal
195,1195,6,2,49.8,5,2,2,522,potential_loyalists,Loyal
196,1196,595,1,371.14,1,1,5,115,hibernating,Not Loyal
197,1197,35,1,14.35,5,1,1,511,new_customers,Not Loyal
198,1198,78,1,13.18,5,1,1,511,new_customers,Not Loyal
199,1199,231,1,13.18,3,1,1,311,about_to_sleep,Not Loyal
200,1200,237,4,194.72,3,4,5,345,loyal_customers,Not Loyal
201,1201,376,1,19.53,1,1,1,111,hibernating,Not Loyal
202,1202,87,1,49.4,5,1,2,512,new_customers,Not Loyal
203,1203,214,1,33.1,3,1,2,312,about_to_sleep,Not Loyal
204,1204,754,1,66.11,1,1,3,113,hibernating,Not Loyal
205,1205,438,1,38.97,1,1,2,112,hibernating,Not Loyal
206,1206,49,1,20.82,5,1,1,511,new_customers,Not Loyal
207,1207,1597,1,16.3,1,1,1,111,hibernating,Not Loyal
208,1208,318,1,27,2,1,1,211,hibernating,Not Loyal
209,1209,937,1,19.5,1,1,1,111,hibernating,Not Loyal
210,1210,184,5,227.68,3,5,5,355,loyal_customers,Not Loyal
211,1211,250,1,12.06,3,1,1,311,about_to_sleep,Not Loyal
212,1212,441,2,90.26,1,2,3,123,hibernating,Not Loyal
213,1213,562,1,42.49,1,1,2,112,hibernating,Not Loyal
214,1214,149,1,47.28,4,1,2,412,promising,Not Loyal
215,1215,353,1,13.92,2,1,1,211,hibernating,Not Loyal
216,1216,254,1,11.78,3,1,1,311,about_to_sleep,Not Loyal
217,1217,40,3,82.02,5,3,3,533,potential_loyalists,Loyal
218,1218,84,1,56.87,5,1,2,512,new_customers,Not Loyal
219,1219,56,1,27.7,5,1,1,511,new_customers,Not Loyal
220,1220,510,1,57.47,1,1,2,112,hibernating,Not Loyal
221,1221,86,4,248,5,4,5,545,champions,Loyal
222,1222,81,3,261.88,5,3,5,535,potential_loyalists,Loyal
223,1223,53,2,262.15,5,2,5,525,potential_loyalists,Loyal
224,1224,144,1,35.42,4,1,2,412,promising,Not Loyal
225,1225,247,3,249.9,3,3,5,335,need_attention,Not Loyal
226,1226,17,2,76.07,5,2,3,523,potential_loyalists,Loyal
227,1227,83,1,14.35,5,1,1,511,new_customers,Not Loyal
228,1228,499,1,22.85,1,1,1,111,hibernating,Not Loyal
229,1229,40,2,117.07,5,2,4,524,potential_loyalists,Loyal
230,1230,65,1,71.47,5,1,3,513,new_customers,Not Loyal
231,1231,208,1,59.04,3,1,2,312,about_to_sleep,Not Loyal
232,1232,32,1,21.4,5,1,1,511,new_customers,Not Loyal
233,1233,439,1,12.06,1,1,1,111,hibernating,Not Loyal
234,1234,329,1,16.73,2,1,1,211,hibernating,Not Loyal
235,1235,946,1,25.13,1,1,1,111,hibernating,Not Loyal
236,1236,59,1,57.15,5,1,2,512,new_customers,Not Loyal
237,1237,572,2,38.46,1,2,2,122,hibernating,Not Loyal
238,1238,290,1,34.9,2,1,2,212,hibernating,Not Loyal
239,1239,559,1,18.75,1,1,1,111,hibernating,Not Loyal
240,1240,313,2,51.02,2,2,2,222,hibernating,Not Loyal
241,1241,169,1,23.27,4,1,1,411,promising,Not Loyal
242,1242,25,1,15.7,5,1,1,511,new_customers,Not Loyal
243,1243,64,1,19.53,5,1,1,511,new_customers,Not Loyal
244,1244,134,1,19.23,4,1,1,411,promising,Not Loyal
245,1245,460,1,10.17,1,1,1,111,hibernating,Not Loyal
246,1246,370,1,10.93,1,1,1,111,hibernating,Not Loyal
247,1247,518,2,56.77,1,2,2,122,hibernating,Not Loyal
248,1248,431,4,226.84,1,4,5,145,at_Risk,Not Loyal
249,1249,344,1,45.68,2,1,2,212,hibernating,Not Loyal
250,1250,7,2,81.15,5,2,3,523,potential_loyalists,Loyal
251,1251,261,2,161.42,3,2,5,325,about_to_sleep,Not Loyal
252,1252,286,1,19.53,2,1,1,211,hibernating,Not Loyal
253,1253,226,1,23.73,3,1,1,311,about_to_sleep,Not Loyal
254,1254,255,1,67.29,3,1,3,313,about_to_sleep,Not Loyal
255,1255,299,1,30.23,2,1,2,212,hibernating,Not Loyal
256,1256,514,1,42.82,1,1,2,112,hibernating,Not Loyal
257,1257,272,1,23.18,2,1,1,211,hibernating,Not Loyal
258,1258,32,16,1030.86,5,5,5,555,champions,Loyal
259,1259,229,1,53.16,3,1,2,312,about_to_sleep,Not Loyal
260,1260,32,1,15.79,5,1,1,511,new_customers,Not Loyal
261,1261,1318,1,56.84,1,1,2,112,hibernating,Not Loyal
262,1262,557,1,57.61,1,1,2,112,hibernating,Not Loyal
263,1263,11,1,16.63,5,1,1,511,new_customers,Not Loyal
264,1264,334,1,32.62,2,1,2,212,hibernating,Not Loyal
265,1265,200,3,72.69,3,3,3,333,need_attention,Not Loyal
266,1266,405,2,99.81,1,2,3,123,hibernating,Not Loyal
267,1267,247,1,109.97,3,1,4,314,about_to_sleep,Not Loyal
268,1268,23,7,451.4,5,5,5,555,champions,Loyal
269,1269,122,10,694.87,4,5,5,455,loyal_customers,Loyal
270,1270,492,1,133.64,1,1,4,114,hibernating,Not Loyal
271,1271,21,11,856.47,5,5,5,555,champions,Loyal
272,1272,426,1,12.99,1,1,1,111,hibernating,Not Loyal
273,1273,416,2,22.25,1,2,1,121,hibernating,Not Loyal
274,1274,244,1,16.95,3,1,1,311,about_to_sleep,Not Loyal
275,1275,200,2,55.98,3,2,2,322,about_to_sleep,Not Loyal
276,1276,335,2,43.15,2,2,2,222,hibernating,Not Loyal
277,1277,211,1,17.64,3,1,1,311,about_to_sleep,Not Loyal
278,1278,53,1,60.72,5,1,3,513,new_customers,Not Loyal
279,1279,99,1,65.1,4,1,3,413,promising,Not Loyal
280,1280,65,1,18.79,5,1,1,511,new_customers,Not Loyal
281,1281,86,2,12.15,5,2,1,521,potential_loyalists,Loyal
282,1282,1096,1,34.98,1,1,2,112,hibernating,Not Loyal
283,1283,279,1,37.8,2,1,2,212,hibernating,Not Loyal
284,1284,80,1,34.83,5,1,2,512,new_customers,Not Loyal
285,1285,370,2,179.78,1,2,5,125,hibernating,Not Loyal
286,1286,1149,1,49.52,1,1,2,112,hibernating,Not Loyal
287,1287,240,1,63.08,3,1,3,313,about_to_sleep,Not Loyal
288,1288,46,1,31.67,5,1,2,512,new_customers,Not Loyal
289,1289,60,1,23.26,5,1,1,511,new_customers,Not Loyal
290,1290,485,1,45.71,1,1,2,112,hibernating,Not Loyal
291,1291,51,4,142.71,5,4,4,544,champions,Loyal
292,1292,143,1,15.68,4,1,1,411,promising,Not Loyal
293,1293,135,1,12.04,4,1,1,411,promising,Not Loyal
294,1294,22,4,444.72,5,4,5,545,champions,Loyal
295,1295,226,1,24.37,3,1,1,311,about_to_sleep,Not Loyal
296,1296,183,1,51.3,3,1,2,312,about_to_sleep,Not Loyal
297,1297,296,3,174.91,2,3,5,235,at_Risk,Not Loyal
298,1298,572,1,25.87,1,1,1,111,hibernating,Not Loyal
299,1299,31,1,21.58,5,1,1,511,new_customers,Not Loyal
300,1300,102,1,40.36,4,1,2,412,promising,Not Loyal
301,1301,50,1,23.26,5,1,1,511,new_customers,Not Loyal
302,1302,448,1,22.79,1,1,1,111,hibernating,Not Loyal
303,1303,999,1,21.37,1,1,1,111,hibernating,Not Loyal
304,1304,60,1,37.28,5,1,2,512,new_customers,Not Loyal
305,1305,130,1,33.52,4,1,2,412,promising,Not Loyal
306,1306,261,1,37.2,3,1,2,312,about_to_sleep,Not Loyal
307,1307,233,2,44.21,3,2,2,322,about_to_sleep,Not Loyal
308,1308,55,1,62.57,5,1,3,513,new_customers,Not Loyal
309,1309,388,1,59.99,1,1,2,112,hibernating,Not Loyal
310,1310,40,1,8.32,5,1,1,511,new_customers,Not Loyal
311,1311,28,1,13.93,5,1,1,511,new_customers,Not Loyal
312,1312,379,1,25.98,1,1,1,111,hibernating,Not Loyal
313,1313,526,1,11.37,1,1,1,111,hibernating,Not Loyal
314,1314,159,1,49.9,4,1,2,412,promising,Not Loyal
315,1315,165,2,37.15,4,2,2,422,potential_loyalists,Loyal
316,1316,312,1,24.21,2,1,1,211,hibernating,Not Loyal
317,1317,231,1,58.85,3,1,2,312,about_to_sleep,Not Loyal
318,1318,318,1,31.44,2,1,2,212,hibernating,Not Loyal
319,1319,77,1,84.11,5,1,3,513,new_customers,Not Loyal
320,1320,332,1,13.88,2,1,1,211,hibernating,Not Loyal
321,1321,823,1,12.97,1,1,1,111,hibernating,Not Loyal
322,1322,108,1,60.7,4,1,3,413,promising,Not Loyal
323,1323,88,1,41.02,5,1,2,512,new_customers,Not Loyal
324,1324,641,2,92.91,1,2,3,123,hibernating,Not Loyal
325,1325,424,1,92,1,1,3,113,hibernating,Not Loyal
326,1326,1036,1,50.15,1,1,2,112,hibernating,Not Loyal
327,1327,249,1,25.14,3,1,1,311,about_to_sleep,Not Loyal
328,1328,418,1,69.16,1,1,3,113,hibernating,Not Loyal
329,1329,50,1,22.34,5,1,1,511,new_customers,Not Loyal
330,1330,770,1,50.65,1,1,2,112,hibernating,Not Loyal
331,1331,197,1,17.18,3,1,1,311,about_to_sleep,Not Loyal
332,1332,89,4,156.37,5,4,5,545,champions,Loyal
333,1333,458,2,78.25,1,2,3,123,hibernating,Not Loyal
334,1334,268,1,62.57,3,1,3,313,about_to_sleep,Not Loyal
335,1335,775,1,58.18,1,1,2,112,hibernating,Not Loyal
336,1336,480,2,117.19,1,2,4,124,hibernating,Not Loyal
337,1337,957,1,56.16,1,1,2,112,hibernating,Not Loyal
338,1338,338,1,4.58,2,1,1,211,hibernating,Not Loyal
339,1339,92,1,63.67,4,1,3,413,promising,Not Loyal
340,1340,41,1,205.61,5,1,5,515,new_customers,Not Loyal
341,1341,87,1,24.19,5,1,1,511,new_customers,Not Loyal
342,1342,130,3,291.85,4,3,5,435,potential_loyalists,Loyal
343,1343,64,1,12.06,5,1,1,511,new_customers,Not Loyal
344,1344,127,1,10.19,4,1,1,411,promising,Not Loyal
345,1345,962,1,56.16,1,1,2,112,hibernating,Not Loyal
346,1346,875,1,21.37,1,1,1,111,hibernating,Not Loyal
347,1347,434,1,60.08,1,1,3,113,hibernating,Not Loyal
348,1348,1126,1,48.59,1,1,2,112,hibernating,Not Loyal
349,1349,318,1,81.79,2,1,3,213,hibernating,Not Loyal
350,1350,480,1,19.54,1,1,1,111,hibernating,Not Loyal
351,1351,504,2,126.04,1,2,4,124,hibernating,Not Loyal
352,1352,203,1,205.08,3,1,5,315,about_to_sleep,Not Loyal
353,1353,474,2,193.46,1,2,5,125,hibernating,Not Loyal
354,1354,417,1,99.53,1,1,3,113,hibernating,Not Loyal
355,1355,89,3,163.1,5,3,5,535,potential_loyalists,Loyal
356,1356,420,2,41.39,1,2,2,122,hibernating,Not Loyal
357,1357,569,1,43.97,1,1,2,112,hibernating,Not Loyal
358,1358,269,1,35.42,3,1,2,312,about_to_sleep,Not Loyal
359,1359,118,1,18.59,4,1,1,411,promising,Not Loyal
360,1360,17,1,19.53,5,1,1,511,new_customers,Not Loyal
361,1361,139,1,10.93,4,1,1,411,promising,Not Loyal
362,1362,558,1,167.89,1,1,5,115,hibernating,Not Loyal
363,1363,93,1,29.79,4,1,1,411,promising,Not Loyal
364,1364,99,1,56.45,4,1,2,412,promising,Not Loyal
365,1365,49,1,65.36,5,1,3,513,new_customers,Not Loyal
366,1366,63,1,56.51,5,1,2,512,new_customers,Not Loyal
367,1367,135,1,174.88,4,1,5,415,promising,Not Loyal
368,1368,31,1,38.22,5,1,2,512,new_customers,Not Loyal
369,1369,93,1,16.25,4,1,1,411,promising,Not Loyal
370,1370,15,1,15.79,5,1,1,511,new_customers,Not Loyal
371,1371,66,5,211.58,5,5,5,555,champions,Loyal
372,1372,87,1,60.64,5,1,3,513,new_customers,Not Loyal
373,1373,54,2,109.01,5,2,4,524,potential_loyalists,Loyal
374,1374,35,1,41.1,5,1,2,512,new_customers,Not Loyal
375,1375,235,1,48.04,3,1,2,312,about_to_sleep,Not Loyal
376,1376,34,3,185.16,5,3,5,535,potential_loyalists,Loyal
377,1377,266,1,32.15,3,1,2,312,about_to_sleep,Not Loyal
378,1378,258,3,139.59,3,3,4,334,need_attention,Not Loyal
379,1379,8,3,146.87,5,3,4,534,potential_loyalists,Loyal
380,1380,9,2,32,5,2,2,522,potential_loyalists,Loyal
381,1381,169,1,16.72,4,1,1,411,promising,Not Loyal
382,1382,55,2,98.18,5,2,3,523,potential_loyalists,Loyal
383,1383,428,1,89.72,1,1,3,113,hibernating,Not Loyal
384,1384,213,5,250.79,3,5,5,355,loyal_customers,Not Loyal
385,1385,168,3,91.27,4,3,3,433,potential_loyalists,Loyal
386,1386,177,1,12.06,4,1,1,411,promising,Not Loyal
387,1387,421,1,59.79,1,1,2,112,hibernating,Not Loyal
388,1388,605,1,22.85,1,1,1,111,hibernating,Not Loyal
389,1389,1240,1,82.41,1,1,3,113,hibernating,Not Loyal
390,1390,750,3,381.71,1,3,5,135,at_Risk,Not Loyal
391,1391,113,1,26.15,4,1,1,411,promising,Not Loyal
392,1392,151,1,56.5,4,1,2,412,promising,Not Loyal
393,1393,405,1,32.62,1,1,2,112,hibernating,Not Loyal
394,1394,428,1,16.92,1,1,1,111,hibernating,Not Loyal
395,1395,74,1,21.39,5,1,1,511,new_customers,Not Loyal
396,1396,331,2,86.71,2,2,3,223,hibernating,Not Loyal
397,1397,198,2,70.33,3,2,3,323,about_to_sleep,Not Loyal
398,1398,751,2,121.96,1,2,4,124,hibernating,Not Loyal
399,1399,81,1,25.12,5,1,1,511,new_customers,Not Loyal
400,1400,395,1,72.36,1,1,3,113,hibernating,Not Loyal
401,1401,142,1,60.88,4,1,3,413,promising,Not Loyal
402,1402,59,1,25.97,5,1,1,511,new_customers,Not Loyal
403,1403,100,1,97.78,4,1,3,413,promising,Not Loyal
404,1404,73,1,60.63,5,1,3,513,new_customers,Not Loyal
405,1405,293,1,23.64,2,1,1,211,hibernating,Not Loyal
406,1406,144,1,28.67,4,1,1,411,promising,Not Loyal
407,1407,472,1,15.22,1,1,1,111,hibernating,Not Loyal
408,1408,560,1,61.06,1,1,3,113,hibernating,Not Loyal
409,1409,313,2,132.36,2,2,4,224,hibernating,Not Loyal
410,1410,78,1,63.54,5,1,3,513,new_customers,Not Loyal
411,1411,596,1,28.74,1,1,1,111,hibernating,Not Loyal
412,1412,14,1,60.55,5,1,3,513,new_customers,Not Loyal
413,1413,50,1,13.93,5,1,1,511,new_customers,Not Loyal
414,1414,85,6,312.4,5,5,5,555,champions,Loyal
415,1415,531,1,58.84,1,1,2,112,hibernating,Not Loyal
416,1416,704,1,44.38,1,1,2,112,hibernating,Not Loyal
417,1417,614,2,90.02,1,2,3,123,hibernating,Not Loyal
418,1418,144,1,24.2,4,1,1,411,promising,Not Loyal
